case,idx,bit,unique_bits,times,sumtime,memory,internal_diversity
clean_db_nfa_odd,9,512,496,0.023914575576782227,9.979953050613403,13119488,0.770396892915734
clean_db_nfa_odd,10,1024,819,0.02516913414001465,10.216150522232056,26238976,0.7847255361485923
clean_db_nfa_odd,11,2048,1138,0.03887939453125,10.777744770050049,52477952,0.7900934192807796
clean_db_nfa_odd,12,4096,1369,0.06580662727355957,11.748911142349243,104955904,0.7963503170026359
clean_db_nfa_odd,13,8192,1525,0.15915942192077637,13.79968810081482,209911808,0.7976608686626359
clean_db_nfa_odd,14,16384,1596,0.32039952278137207,17.753762006759644,419823616,0.7979239942323142
clean_db_nfa_odd,15,32768,1642,0.5191099643707275,25.346149921417236,839647232,0.7982502276794909
clean_db_nfa_odd,16,65536,1664,1.1007943153381348,40.83779978752136,1679294464,0.7986293679384074
clean_db_nfa_odd,17,131072,1680,2.7016708850860596,80.64295434951782,3358588928,0.7987215194098191
clean_db_nfa_odd,18,262144,1685,5.10589861869812,147.61507892608643,6717177856,0.798875116036788
clean_db_nfa_odd,19,524288,1690,10.475592374801636,281.93941378593445,13434355712,0.7988769347567447
clean_db_nfa_odd,20,1048576,1690,21.081467628479004,538.2085659503937,26868711424,0.7988769347567447
clean_db_nfa_odd,21,2097152,1692,38.171870708465576,995.1057941913605,53737422848,0.7988770118514738
