case,idx,bit,unique_bits,times,sumtime,memory,internal_diversity
clean_db_reddb_odd,9,512,461,0.005731821060180664,2.359966278076172,4065792,0.8341911761824513
clean_db_reddb_odd,10,1024,696,0.008413314819335938,2.446356773376465,8131584,0.8422164636725903
clean_db_reddb_odd,11,2048,885,0.01714181900024414,2.5990302562713623,16263168,0.8505860865444407
clean_db_reddb_odd,12,4096,1002,0.028200149536132812,2.8850862979888916,32526336,0.852637224172302
clean_db_reddb_odd,13,8192,1074,0.04692673683166504,3.5401697158813477,65052672,0.8554471869626205
clean_db_reddb_odd,14,16384,1130,0.08448362350463867,4.732993125915527,130105344,0.8559055355659921
clean_db_reddb_odd,15,32768,1143,0.16100382804870605,7.096421241760254,260210688,0.8559573324413723
clean_db_reddb_odd,16,65536,1154,0.33335351943969727,11.918334245681763,520421376,0.8560900432501793
clean_db_reddb_odd,17,131072,1157,0.7736432552337646,25.08954095840454,1040842752,0.8560971659609263
clean_db_reddb_odd,18,262144,1158,1.6755805015563965,45.7773597240448,2081685504,0.856106921660744
clean_db_reddb_odd,19,524288,1158,3.2055211067199707,142.81342792510986,4163371008,0.856106921660744
clean_db_reddb_odd,20,1048576,1158,6.041489124298096,155.76584815979004,8326742016,0.856106921660744
clean_db_reddb_odd,21,2097152,1158,12.057694673538208,312.7088100910187,16653484032,0.856106921660744
